,date,deposit_type,rate
175,2010-10-20,活期存款(不定期),0.36
176,2010-10-20,零存整取、整存零取、存本取息定期存款(三年),2.20
177,2010-10-20,零存整取、整存零取、存本取息定期存款(五年),2.50
178,2010-10-20,零存整取、整存零取、存本取息定期存款(一年),1.91
179,2010-10-20,通知存款(七天),1.35
180,2010-10-20,通知存款(一天),0.81
181,2010-10-20,协定存款(定期),1.17
182,2008-12-23,定活两便(定期),--
183,2008-12-23,定期存款整存整取(半年),1.98
184,2008-12-23,定期存款整存整取(二年),2.79
185,2008-12-23,定期存款整存整取(三个月),1.71
186,2008-12-23,定期存款整存整取(三年),3.33
187,2008-12-23,定期存款整存整取(五年),3.60
188,2008-12-23,定期存款整存整取(一年),2.25
189,2008-12-23,活期存款(不定期),0.36
190,2008-12-23,零存整取、整存零取、存本取息定期存款(三年),1.98
191,2008-12-23,零存整取、整存零取、存本取息定期存款(五年),2.25
192,2008-12-23,零存整取、整存零取、存本取息定期存款(一年),1.71
193,2008-12-23,通知存款(七天),1.35
194,2008-12-23,通知存款(一天),0.81
195,2008-12-23,协定存款(定期),1.17
196,2008-11-27,定活两便(定期),--
197,2008-11-27,定期存款整存整取(半年),2.25
198,2008-11-27,定期存款整存整取(二年),3.06
199,2008-11-27,定期存款整存整取(三个月),1.98
200,2008-11-27,定期存款整存整取(三年),3.60
201,2008-11-27,定期存款整存整取(五年),3.87
202,2008-11-27,定期存款整存整取(一年),2.52
203,2008-11-27,活期存款(不定期),0.36
204,2008-11-27,零存整取、整存零取、存本取息定期存款(三年),2.25
205,2008-11-27,零存整取、整存零取、存本取息定期存款(五年),2.52
206,2008-11-27,零存整取、整存零取、存本取息定期存款(一年),1.98
207,2008-11-27,通知存款(七天),1.35
208,2008-11-27,通知存款(一天),0.81
209,2008-11-27,协定存款(定期),1.17
210,2008-10-30,定活两便(定期),--
211,2008-10-30,定期存款整存整取(半年),3.24
212,2008-10-30,定期存款整存整取(二年),4.14
213,2008-10-30,定期存款整存整取(三个月),2.88
214,2008-10-30,定期存款整存整取(三年),4.77
215,2008-10-30,定期存款整存整取(五年),5.13
216,2008-10-30,定期存款整存整取(一年),3.60
217,2008-10-30,活期存款(不定期),0.72
218,2008-10-30,零存整取、整存零取、存本取息定期存款(三年),--
219,2008-10-30,零存整取、整存零取、存本取息定期存款(五年),--
220,2008-10-30,零存整取、整存零取、存本取息定期存款(一年),--
221,2008-10-30,通知存款(七天),1.71
222,2008-10-30,通知存款(一天),1.17
223,2008-10-30,协定存款(定期),1.53
224,2008-10-09,定活两便(定期),--
225,2008-10-09,定期存款整存整取(半年),3.51
226,2008-10-09,定期存款整存整取(二年),4.41
227,2008-10-09,定期存款整存整取(三个月),3.15
228,2008-10-09,定期存款整存整取(三年),5.13
229,2008-10-09,定期存款整存整取(五年),5.58
230,2008-10-09,定期存款整存整取(一年),3.87
231,2008-10-09,活期存款(不定期),0.72
232,2008-10-09,零存整取、整存零取、存本取息定期存款(三年),--
233,2008-10-09,零存整取、整存零取、存本取息定期存款(五年),--
234,2008-10-09,零存整取、整存零取、存本取息定期存款(一年),--
235,2008-10-09,通知存款(七天),1.71
236,2008-10-09,通知存款(一天),1.17
237,2008-10-09,协定存款(定期),1.53
238,2007-12-21,定活两便(定期),--
239,2007-12-21,定期存款整存整取(半年),3.78
240,2007-12-21,定期存款整存整取(二年),4.68
241,2007-12-21,定期存款整存整取(三个月),3.33
242,2007-12-21,定期存款整存整取(三年),5.40
243,2007-12-21,定期存款整存整取(五年),5.85
244,2007-12-21,定期存款整存整取(一年),4.14
245,2007-12-21,活期存款(不定期),0.72
246,2007-12-21,零存整取、整存零取、存本取息定期存款(三年),--
247,2007-12-21,零存整取、整存零取、存本取息定期存款(五年),--
248,2007-12-21,零存整取、整存零取、存本取息定期存款(一年),--
249,2007-12-21,通知存款(七天),1.71
250,2007-12-21,通知存款(一天),1.17
251,2007-12-21,协定存款(定期),1.53
252,2007-09-15,定活两便(定期),--
253,2007-09-15,定期存款整存整取(半年),3.42
254,2007-09-15,定期存款整存整取(二年),4.50
255,2007-09-15,定期存款整存整取(三个月),2.88
256,2007-09-15,定期存款整存整取(三年),5.22
257,2007-09-15,定期存款整存整取(五年),5.76
258,2007-09-15,定期存款整存整取(一年),3.87
259,2007-09-15,活期存款(不定期),0.81
260,2007-09-15,零存整取、整存零取、存本取息定期存款(三年),--
261,2007-09-15,零存整取、整存零取、存本取息定期存款(五年),--
262,2007-09-15,零存整取、整存零取、存本取息定期存款(一年),--
263,2007-09-15,通知存款(七天),1.71
264,2007-09-15,通知存款(一天),1.17
265,2007-09-15,协定存款(定期),1.53
266,2007-08-22,定活两便(定期),--
267,2007-08-22,定期存款整存整取(半年),3.15
268,2007-08-22,定期存款整存整取(二年),4.23
269,2007-08-22,定期存款整存整取(三个月),2.61
270,2007-08-22,定期存款整存整取(三年),4.95
271,2007-08-22,定期存款整存整取(五年),5.49
272,2007-08-22,定期存款整存整取(一年),3.60
273,2007-08-22,活期存款(不定期),0.81
274,2007-08-22,零存整取、整存零取、存本取息定期存款(三年),--
275,2007-08-22,零存整取、整存零取、存本取息定期存款(五年),--
276,2007-08-22,零存整取、整存零取、存本取息定期存款(一年),--
277,2007-08-22,通知存款(七天),1.71
278,2007-08-22,通知存款(一天),1.17
279,2007-08-22,协定存款(定期),1.53
280,2007-07-21,定活两便(定期),--
281,2007-07-21,定期存款整存整取(半年),2.88
282,2007-07-21,定期存款整存整取(二年),3.96
283,2007-07-21,定期存款整存整取(三个月),2.34
284,2007-07-21,定期存款整存整取(三年),4.68
285,2007-07-21,定期存款整存整取(五年),5.22
286,2007-07-21,定期存款整存整取(一年),3.33
287,2007-07-21,活期存款(不定期),0.81
288,2007-07-21,零存整取、整存零取、存本取息定期存款(三年),--
289,2007-07-21,零存整取、整存零取、存本取息定期存款(五年),--
290,2007-07-21,零存整取、整存零取、存本取息定期存款(一年),--
291,2007-07-21,通知存款(七天),1.71
292,2007-07-21,通知存款(一天),1.17
293,2007-07-21,协定存款(定期),1.53
294,2007-05-19,定活两便(定期),--
295,2007-05-19,定期存款整存整取(半年),2.61
296,2007-05-19,定期存款整存整取(二年),3.69
297,2007-05-19,定期存款整存整取(三个月),2.07
298,2007-05-19,定期存款整存整取(三年),4.41
299,2007-05-19,定期存款整存整取(五年),4.95
300,2007-05-19,定期存款整存整取(一年),3.06
301,2007-05-19,活期存款(不定期),0.72
302,2007-05-19,零存整取、整存零取、存本取息定期存款(三年),--
303,2007-05-19,零存整取、整存零取、存本取息定期存款(五年),--
304,2007-05-19,零存整取、整存零取、存本取息定期存款(一年),--
305,2007-05-19,通知存款(七天),1.62
306,2007-05-19,通知存款(一天),1.08
307,2007-05-19,协定存款(定期),1.44
308,2007-03-18,定活两便(定期),--
309,2007-03-18,定期存款整存整取(半年),2.43
310,2007-03-18,定期存款整存整取(二年),3.33
311,2007-03-18,定期存款整存整取(三个月),1.98
312,2007-03-18,定期存款整存整取(三年),3.96
313,2007-03-18,定期存款整存整取(五年),4.41
314,2007-03-18,定期存款整存整取(一年),2.79
315,2007-03-18,活期存款(不定期),0.72
316,2007-03-18,零存整取、整存零取、存本取息定期存款(三年),--
317,2007-03-18,零存整取、整存零取、存本取息定期存款(五年),--
318,2007-03-18,零存整取、整存零取、存本取息定期存款(一年),--
319,2007-03-18,通知存款(七天),1.62
320,2007-03-18,通知存款(一天),1.08
321,2007-03-18,协定存款(定期),1.44
322,2006-08-19,定活两便(定期),--
323,2006-08-19,定期存款整存整取(半年),2.25
324,2006-08-19,定期存款整存整取(二年),3.06
325,2006-08-19,定期存款整存整取(三个月),1.80
326,2006-08-19,定期存款整存整取(三年),3.69
327,2006-08-19,定期存款整存整取(五年),4.14
328,2006-08-19,定期存款整存整取(一年),2.52
329,2006-08-19,活期存款(不定期),0.72
330,2006-08-19,零存整取、整存零取、存本取息定期存款(三年),--
331,2006-08-19,零存整取、整存零取、存本取息定期存款(五年),--
332,2006-08-19,零存整取、整存零取、存本取息定期存款(一年),--
333,2006-08-19,通知存款(七天),1.62
334,2006-08-19,通知存款(一天),1.08
335,2006-08-19,协定存款(定期),1.44
336,2004-10-29,定活两便(定期),--
337,2004-10-29,定期存款整存整取(半年),2.07
338,2004-10-29,定期存款整存整取(二年),2.70
339,2004-10-29,定期存款整存整取(三个月),1.71
340,2004-10-29,定期存款整存整取(三年),3.24
341,2004-10-29,定期存款整存整取(五年),3.60
342,2004-10-29,定期存款整存整取(一年),2.25
343,2004-10-29,活期存款(不定期),0.72
344,2004-10-29,零存整取、整存零取、存本取息定期存款(三年),--
345,2004-10-29,零存整取、整存零取、存本取息定期存款(五年),--
346,2004-10-29,零存整取、整存零取、存本取息定期存款(一年),--
347,2004-10-29,通知存款(七天),1.62
348,2004-10-29,通知存款(一天),1.08
349,2004-10-29,协定存款(定期),1.44
350,2002-02-21,定活两便(定期),--
351,2002-02-21,定期存款整存整取(半年),1.89
352,2002-02-21,定期存款整存整取(二年),2.25
353,2002-02-21,定期存款整存整取(三个月),1.71
354,2002-02-21,定期存款整存整取(三年),2.52
355,2002-02-21,定期存款整存整取(五年),2.79
356,2002-02-21,定期存款整存整取(一年),1.98
