code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,peg
600879,航天电子,航空,湖北,57.93,15.96,27.19,2161827.75,1624935.38,378575.94,477375.44,1.76,0.077,4.07,2.19,19951115,337458.97,1.24,18.53,30.71,16.33,3.74,145523.0,3.12628170534
002009,天奇股份,工程机械,江苏,51.99,2.71,3.71,480839.16,320789.38,97693.71,91432.25,2.47,0.141,5.26,2.78,20040629,60058.9,1.62,16.62,7.04,25.87,4.85,36383.0,3.12815884477
002262,恩华药业,化学制药,江苏,33.84,8.62,10.09,315045.97,215537.34,47024.96,1107.8,0.01,0.207,2.25,6.25,20080723,110217.3,1.09,10.79,21.66,50.05,12.47,13655.0,3.13623725672
601107,四川成渝,路桥,四川,12.25,21.63,30.58,3663063.5,883835.88,58011.05,184394.06,0.6,0.191,4.44,1.05,20090727,422793.09,1.38,3.9,-13.51,36.69,17.07,70081.0,3.14102564103
600771,广誉远,中成药,青海,84.67,2.44,3.53,215694.45,168654.5,5237.03,178501.69,5.06,0.223,5.06,7.46,19961105,-38081.94,-1.08,26.95,265.48,78.46,15.62,15614.0,3.14174397032
300049,福瑞股份,中成药,内蒙,52.62,2.28,2.63,243098.3,128739.35,10261.69,80089.35,3.04,0.16,5.8,2.73,20100120,35539.23,1.35,16.72,-9.08,76.25,9.62,21122.0,3.1471291866
002644,佛慈制药,中成药,甘肃,72.22,5.11,5.11,215328.47,133965.52,15681.86,32801.31,0.64,0.068,2.6,3.76,20111222,42228.93,0.83,22.92,13.78,28.86,15.52,43582.0,3.15095986038
002140,东华科技,建筑施工,安徽,43.72,4.4,4.46,670991.06,596597.06,20556.5,9062.87,0.2,0.151,4.67,2.82,20070712,133782.95,3.0,13.81,14.3,15.79,7.93,24000.0,3.16582186821
300188,美亚柏科,软件服务,福建,136.19,2.95,4.96,254301.16,147597.72,25898.95,87202.25,1.76,0.066,3.82,4.68,20110316,57907.21,1.17,43.0,38.95,59.7,8.78,41077.0,3.16720930233
000532,华金资本,元器件,广东,154.69,3.43,3.45,233709.47,55611.61,6186.58,2517.46,0.07,0.044,2.06,6.58,19940103,28302.74,0.82,48.8,-33.93,41.23,8.46,37228.0,3.16987704918
600666,奥瑞德,元器件,重庆,141.71,8.04,12.27,672100.31,241199.47,107679.22,79023.11,0.64,0.061,2.16,8.04,19930712,101461.42,0.83,44.7,13.32,21.31,16.57,72269.0,3.17024608501
300117,嘉寓股份,装修装饰,北京,136.83,7.14,7.17,506987.94,430670.06,42988.73,14912.13,0.21,0.029,1.99,3.95,20100902,50883.96,0.71,43.03,-29.88,17.21,1.75,48420.0,3.17987450616
